Entry ID;Source Pass;Illustration Type;Asset Category;Start Time;End Time;Transcript Word;Reference Word;Transcript #;Row ID;Timing Basis;Locator;Normalized Match Key;Link URL;Link Kind;HTML Insert Index
1;ai;date;calendar;00:00:01.167;00:00:02.000;janvier 2012;janvier 2012;1;1;exact;reference_span;janvier 2012;;;
2;ai;date;calendar;00:00:01.267;00:00:02.000;2012;2012;1;1;exact;reference_span;2012;;;
3;ai;person;nouns;00:00:02.233;00:00:03.000;nicolas cage;nicolas cage;1;1;exact;reference_span;nicolas cage;;;
4;ai;city;locations_3d;00:00:05.300;00:00:05.633;washington;washington;1;1;exact;reference_span;washington;;;
5;emoji;animated_emoji;animated_emoji;00:00:06.367;00:00:06.367;chat;cat face;3;3;inherited_interpolated;reference_span;users mathieusandana desktop code deployable auto montage animated emoji emoji output up cat face 1f431 mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/animated_emoji/emoji_output_up/cat_face__1f431.mov;;
6;emoji;animated_emoji;animated_emoji;00:00:07.600;00:00:07.667;chien;dog face;3;3;exact;reference_span;users mathieusandana desktop code deployable auto montage animated emoji emoji output up dog face 1f436 mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/animated_emoji/emoji_output_up/dog_face__1f436.mov;;
7;emoji;animated_emoji;animated_emoji;00:00:10.300;00:00:10.767;dinosaure;dinosaur;5;5;exact;reference_span;users mathieusandana desktop code deployable auto montage animated emoji emoji output up dinosaur 1f995 mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/animated_emoji/emoji_output_up/dinosaur__1f995.mov;;
8;ai;money;money;00:00:11.233;00:00:13.367;270 000 dollars;270 000 dollars;5;5;exact;reference_span;270 000 dollars;;;
9;ai;money;money;00:00:12.400;00:00:13.367;000 dollars;000 dollars;5;5;exact;reference_span;000 dollars;;;
10;format;image_link;image_links;00:00:15.167;00:00:16.933;qui voulait aussi le fossil;qui voulait aussi le fossile.;7;7;exact;reference_span;https upload wikimedia org wikipedia commons 1 1a ammonite cat jpg;https://upload.wikimedia.org/wikipedia/commons/1/1a/Ammonite_cat.JPG;image;1
11;flag;animated_flag;animated_flag;00:00:18.667;00:00:18.667;mongolie;mongolie;9;9;inherited_interpolated;reference_span;users mathieusandana desktop code deployable auto montage animated emoji flags output3 up flag of mongolia mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/animated_emoji/flags_output3_up/flag-of-mongolia.mov;;
12;format;website_link;website_links;00:00:20.033;00:00:21.133;nicolas cage devra rendre;Nicolas cage devra rendre;11;11;exact;reference_span;http nicolas cage com;http://nicolas-cage.com;website;2
13;format;bold;social_ranking_punctuation;00:00:22.867;00:00:23.833;il sera remboursé;il sera remboursé;11;11;exact;reference_span;il sera rembourse;;;
14;ai;percent;percent;00:00:24.167;00:00:25.100;0;0;11;11;exact;reference_span;0;;;
15;format;article_link;article_links;00:00:25.100;00:00:25.233;tous;es journaux en parle;13;13;exact;reference_symbol;https www rtl fr culture cine series volee a nicolas cage disparue pendant 11 ans la folle histoire d une edition collector du premier comics superman vendue a 15 millions de dollars 7900587453;https://www.rtl.fr/culture/cine-series/volee-a-nicolas-cage-disparue-pendant-11-ans-la-folle-histoire-d-une-edition-collector-du-premier-comics-superman-vendue-a-15-millions-de-dollars-7900587453;article;3
16;emoji;animated_emoji;animated_emoji;00:00:25.467;00:00:25.933;journaux;rolled up newspaper;13;13;exact;reference_span;users mathieusandana desktop code deployable auto montage animated emoji emoji output up rolled up newspaper 1f5de mov;/Users/mathieusandana/Desktop/code/deployable_auto-montage/animated_emoji/emoji_output_up/rolled_up_newspaper__1f5de.mov;;
17;format;tweet_link;tweet_links;00:00:26.467;00:00:28.433;il y a meme des photos qui sortent;Il y a même des photos qui sortent;17;17;exact;reference_span;https x com cageosaurus status 2060994872;https://x.com/CAGEosaurus/status/2060994872;tweet;4
18;format;video_link_direct;video_links;00:00:28.433;00:00:30.167;et meme des videos qui ont marque l histoire;Et même des video qui ont marqué l’histoire;19;19;exact;reference_span;https www youtube com watch v gnezg5prjza;https://www.youtube.com/watch?v=GNEzg5pRJzA;video_direct;5
19;format;title_h1;titles;00:00:30.167;00:00:33.000;;fou,vrai, incroyable.;29;29;exact;title_spoken_anchor;fou vrai incroyable;;;
20;ai;cta_subscribe;cta;00:00:33.000;00:00:33.567;abonnez vous;Abonnez-vous;29;29;exact;reference_span;abonnez vous;;;
21;ai;cta_tippee;cta;00:00:35.833;00:00:36.167;tipeee;Tipeee;29;29;exact;transcript_span;tipeee;;;
22;format;twitter;social_ranking_punctuation;00:00:37.767;00:00:38.100;Twitter;Twitter;31;31;exact;reference_span;twitter;;;
23;format;website_link;website_links;00:00:40.500;00:00:41.467;Passez une bonne journée.;nicolas-cage.com;41;41;inherited_interpolated;row_fallback;http nicolas cage com;http://nicolas-cage.com/;website;6
