"Clip ID","Source Start Time","Source End Time","Duration Seconds"
"1","00:00:00:00","00:00:06:04","6.180000"
"2","00:00:06:10","00:00:10:02","3.660000"
"3","00:00:10:12","00:00:15:07","4.760000"
"4","00:00:16:03","00:00:20:03","4.010000"
"5","00:00:20:14","00:00:22:16","2.110000"
"6","00:00:23:00","00:00:29:20","6.810000"
"7","00:00:31:00","00:00:32:20","1.810000"
"8","00:00:33:04","00:00:35:20","2.660000"
"9","00:00:36:09","00:00:38:08","1.960000"
"10","00:00:39:16","00:00:42:00","2.310000"
"11","00:00:42:21","00:00:46:06","3.360000"
"12","00:00:47:00","00:00:48:10","1.410000"
"13","00:00:50:03","00:00:51:22","1.810000"
"14","00:00:52:05","00:00:54:04","1.960000"
"15","00:00:55:08","00:00:59:01","3.710000"
"16","00:00:59:08","00:01:01:20","2.510000"
"17","00:01:02:10","00:01:03:18","1.310000"
"18","00:01:04:11","00:01:07:07","2.810000"
"19","00:01:10:06","00:01:12:22","2.660000"
"20","00:01:14:04","00:01:15:13","1.360000"
"21","00:01:16:12","00:01:17:22","1.410000"
"22","00:01:19:23","00:01:21:03","1.160000"
"23","00:01:22:14","00:01:23:07","0.710000"
